,BLOCKLOT,REC:PROG,REC:Neighborhood,REC:Address
852,4178H031,1,BELAIR-EDISON,3317 ELMLEY AVE
853,4178H036,1,BELAIR-EDISON,3327 ELMLEY AVE
854,4179D072,1,BELAIR-EDISON,3445 CLIFTMONT AVE
855,4179D097,1,BELAIR-EDISON,3404 ERDMAN AVE
856,4179F041,1,BELAIR-EDISON,3411 JUNEWAY
857,4179K035,1,BELAIR-EDISON,3721 ELMLEY AVE
858,4188B053,1,BELAIR-EDISON,3116 CLIFTMONT AVE
859,4188C021,1,BELAIR-EDISON,3241 CLIFTMONT AVE
860,4190A014,1,BELAIR-EDISON,2926 CLIFTON PARK TERR
861,4198C044,1,ARCADIA,3024 WEAVER AVE
862,4416023,1,REISTERSTOWN STATION,4101 SUNNYSIDE AVE
863,4441028,1,GLEN,3401 GLEN AVE
864,4441A014,1,GLEN,5814 CLOVER ROAD
865,4511007,1,ARLINGTON,5334 BEAUFORT AVE
866,4511B042,1,ARLINGTON,5317 NELSON AVE
867,4511D045,1,WOODMERE,4040 HAYWARD AVE
868,4526035,1,ARLINGTON,5318 DENMORE AVE
869,4536A030,1,PIMLICO GOOD NEIGHBORS,5313 HAMLIN AVE
870,4536A032,1,PIMLICO GOOD NEIGHBORS,5317 HAMLIN AVE
871,4543A025,1,WOODMERE,5234 SAINT CHARLES AVE
872,4544C017,1,ARLINGTON,3613 HAYWARD AVE
873,4575019,1,LANGSTON HUGHES,3703 W BELVEDERE AVE
874,4580035,1,CENTRAL PARK HEIGHTS,3306 SPAULDING AVE
875,4585002,1,CENTRAL PARK HEIGHTS,3102 W GARRISON AVE
876,4587027,1,CENTRAL PARK HEIGHTS,3069 SPAULDING AVE
877,4587031,1,CENTRAL PARK HEIGHTS,3063 SPAULDING AVE
878,4587036,1,CENTRAL PARK HEIGHTS,3053 SPAULDING AVE
879,4587037,1,CENTRAL PARK HEIGHTS,3051 SPAULDING AVE
880,4587040,1,CENTRAL PARK HEIGHTS,3045 SPAULDING AVE
881,4587041,1,CENTRAL PARK HEIGHTS,3043 SPAULDING AVE
882,4587051,1,CENTRAL PARK HEIGHTS,3023 SPAULDING AVE
883,4603016,1,CENTRAL PARK HEIGHTS,3501 OAKMONT AVE
884,4613001A,1,CENTRAL PARK HEIGHTS,3002 OAKLEY AVE
885,4613011,1,CENTRAL PARK HEIGHTS,3031 W GARRISON AVE
886,4613012,1,CENTRAL PARK HEIGHTS,3029 W GARRISON AVE
887,4616072,1,CENTRAL PARK HEIGHTS,3019 OAKLEY AVE
888,4616085,1,CENTRAL PARK HEIGHTS,2925 OAKLEY AVE
889,4616093,1,CENTRAL PARK HEIGHTS,2909 OAKLEY AVE
890,4616098Q,1,CENTRAL PARK HEIGHTS,4822 PIMLICO ROAD
891,4616098T,1,CENTRAL PARK HEIGHTS,4816 PIMLICO ROAD
892,4744051,1,LEVINDALE,2719 SPAULDING AVE
893,4812068,1,PARKLANE,4600 PALL MALL ROAD
894,4813B033,1,PARKLANE,2927 EDGECOMBE CIRCLE NORTH
895,4911A015,1,ROLAND PARK,4711 FALLS ROAD
896,4983G001,1,HOMELAND,5437 SPRINGLAKE WAY
897,4983G027,1,HOMELAND,312 TAPLOW ROAD
898,5053017,1,KERNEWOOD,4632 YORK ROAD
899,5053026,1,KERNEWOOD,4652 YORK ROAD
900,5053028,1,KERNEWOOD,4656 YORK ROAD
901,5053029,1,KERNEWOOD,4658 YORK ROAD
902,5053033,1,KERNEWOOD,4666 YORK ROAD
903,5148A043,1,MID-GOVANS,5617 READY AVE
904,5149024,1,MID-GOVANS,504 TUNBRIDGE ROAD
905,5152015,1,MID-GOVANS,5410 READY AVE
906,5152017,1,MID-GOVANS,529 TUNBRIDGE ROAD
907,5152028,1,MID-GOVANS,507 TUNBRIDGE ROAD
908,5152A015,1,MID-GOVANS,702 WOODBOURNE AVE
909,5158046,1,WOODBOURNE-MCCABE,519 SHERIDAN AVE
910,5165071,1,WINSTON-GOVANS,703 MCCABE AVE
911,5165091,1,WINSTON-GOVANS,509 MCCABE AVE
912,5165B012,1,WOODBOURNE-MCCABE,622 MCCABE AVE
913,5172008B,1,KENILWORTH PARK,5203 KENILWORTH AVE
914,5173016,1,WINSTON-GOVANS,503 BEAUMONT AVE
915,5173069,1,WINSTON-GOVANS,529 CHATEAU AVE
916,5173A009,1,WINSTON-GOVANS,5106 IVANHOE AVE
917,5183081,1,RICHNOR SPRINGS,731 RICHWOOD AVE
918,5200012,1,WILSON PARK,4425 WRENWOOD AVE
919,5213036,1,RICHNOR SPRINGS,528 RICHWOOD AVE
920,5267C024,1,NEW NORTHWOOD,4603 MARBLE HALL ROAD
921,5366006,1,LAURAVILLE,4906 HARFORD ROAD
922,5384B016,1,LAURAVILLE,2725 E STRATHMORE AVE
923,5394001,1,HAMILTON HILLS,2709 GIBBONS AVE
924,5412A001,1,HAMILTON HILLS,2820 HAMILTON AVE
925,5415023,1,HAMILTON HILLS,2908 BAYONNE AVE
926,5415028,1,HAMILTON HILLS,2920 BAYONNE AVE
927,5415030,1,HAMILTON HILLS,5700 HARFORD ROAD
928,5476018,1,NORTH HARFORD ROAD,2915 ROSALIE AVE
929,5551001A,1,NORTH HARFORD ROAD,3003 WOODHOME AVE
930,5603G047,1,ROSEMONT EAST,6609 HILLTOP AVE
931,5686016,1,GLENHAM-BELHAR,3514 MARY AVE
932,5715007B,1,CEDMONT,6227 BELAIR ROAD
933,5748037,1,CEDMONT,4313 GLENARM AVE
934,5797A008,1,WALTHERSON,3301 ECHODALE AVE
935,5804053,1,WALTHERSON,4912 HOLDER AVE
936,5818A002,1,WALTHERSON,5502 HILLTOP AVE
937,5841029,1,WALTHERSON,5118 ARDMORE WAY
938,5843008,1,WALTHERSON,4010 CHESMONT AVE
939,5845A010,1,WALTHERSON,5118 BELAIR ROAD
940,5845C008,1,WALTHERSON,4916 BELAIR ROAD
941,5898H060,1,ARCADIA,4003 EIERMAN AVE
942,5913002,1,BELAIR-EDISON,3601 BELAIR ROAD
943,5926039,1,BELAIR-EDISON,4229 SHAMROCK AVE
944,5930049,1,BELAIR-EDISON,4222 SHELDON AVE
945,5934A044,1,BELAIR-EDISON,4246 NICHOLAS AVE
946,6050004,1,FRANKFORD,5607 FORCE ROAD
947,6111056,1,BELAIR-EDISON,4008 LYNDALE AVE
948,6155013,1,ELLWOOD PARK/MONUMENT,524 N EAST AVE
949,6265054,1,PATTERSON PARK NEIGHBORHOOD,29 N CLINTON ST
950,6270042,1,BALTIMORE HIGHLANDS,218 N CONKLING ST
951,6271031,1,BALTIMORE HIGHLANDS,3519 E FAYETTE ST
952,6286049,1,BALTIMORE HIGHLANDS,3621 E LOMBARD ST
953,6287039,1,BALTIMORE HIGHLANDS,120 S EATON ST
954,6287077,1,BALTIMORE HIGHLANDS,105 S DEAN ST
955,6289061,1,BALTIMORE HIGHLANDS,3407 MOUNT PLEASANT AVE
956,6289062,1,BALTIMORE HIGHLANDS,3405 MOUNT PLEASANT AVE
957,6303042,1,HIGHLANDTOWN,236 S EATON ST
958,6303049,1,HIGHLANDTOWN,250 S EATON ST
959,6304004,1,HIGHLANDTOWN,207 S EATON ST
960,6304021,1,HIGHLANDTOWN,3810 CLAREMONT ST
961,6311033,1,HIGHLANDTOWN,307 S EATON ST
962,6313A041,1,HIGHLANDTOWN,300 S CONKLING ST
963,6315B028,1,HIGHLANDTOWN,3819 BANK ST
964,6323006,1,GREEKTOWN,310 S LEHIGH ST
965,6323007,1,GREEKTOWN,312 S LEHIGH ST
966,6424027,1,CANTON,3509 EASTERN AVE
967,6719012,1,GRACELAND PARK,6706 HUDSON ST
968,6750G001,1,BROENING MANOR,1635 JOPLIN ST
969,6759010,1,BROENING MANOR,6309 BROWN AVE
970,6798027,1,BROENING MANOR,6207 DANVILLE AVE
971,6984004,1,SAINT HELENA,6524 CLEVELAND AVE
972,7057A019,1,BROOKLYN,617 ARSAN AVE
973,7225005,1,CURTIS BAY,1632 HAZEL ST
974,7225009,1,CURTIS BAY,1624 HAZEL ST
975,7225018,1,CURTIS BAY,1606 HAZEL ST
976,7225032,1,CURTIS BAY,1621 LOCUST ST
977,7225033,1,CURTIS BAY,1619 LOCUST ST
978,7225034,1,CURTIS BAY,1617 LOCUST ST
979,7225041,1,CURTIS BAY,1603 LOCUST ST
980,7225042,1,CURTIS BAY,1601 LOCUST ST
981,7481C018,1,LAKELAND,2421 ARBUTON AVE
982,7492B010,1,LAKELAND,2908 HOLLINS FERRY ROAD
983,7492C419,1,LAKELAND,2434 HARRIET AVE
984,7643078,1,CHERRY HILL,2840 BOOKERT DR
985,7779002,1,MORRELL PARK,2534 WASHINGTON BLVD
986,7841085,1,MORRELL PARK,1933 GRINNALDS AVE
987,7841J016,1,MORRELL PARK,2030 WHISTLER AVE
988,8139D036,1,BEECHFIELD,5115 FREDERICK AVE
989,8248003,1,HOWARD PARK,3607 MOHAWK AVE
990,8298006,1,HOWARD PARK,4403 LIBERTY HEIGHTS AVE
991,8333002,1,HOWARD PARK,5505 GWYNN OAK AVE
992,8342001,1,HOWARD PARK,2918 N ROGERS AVE
993,8393G004,1,WEST FOREST PARK,5007 W FOREST PARK AVE
994,8415014,1,FRANKLINTOWN,2006 N FOREST PARK AVE
